transaction_id,customer_id,product,category,price,quantity,transaction_date
T100000,C2824,Monitor,Electronics,755.33,4,2024-06-16
T100001,C1409,Mouse,Accessories,1901.92,4,2024-02-02
T100002,C5506,Phone,Accessories,1466.67,2,2024-09-16
T100003,C5012,Monitor,Electronics,1201.33,4,2024-11-03
T100004,C4657,Tablet,Electronics,320.48,4,2024-08-12
T100005,C3286,Monitor,Computing,320.43,1,2024-02-28
T100006,C2679,Headphones,Computing,125.59,4,2024-05-29
T100007,C9935,Mouse,Computing,1733.69,2,2024-11-03
T100008,C2424,Phone,Electronics,1206.22,4,2024-08-14
T100009,C7912,Laptop,Electronics,1419.06,1,2024-08-27
T100010,C1520,Phone,Computing,50.96,3,2024-12-21
T100011,C1488,Tablet,Electronics,1940.12,3,2024-09-02
T100012,C2535,Keyboard,Computing,1666.56,3,2024-10-29
T100013,C4582,Headphones,Electronics,432.55,2,2024-03-12
T100014,C4811,Phone,Accessories,371.83,2,2024-10-30
T100015,C9279,Laptop,Accessories,374.97,2,2024-11-08
T100016,C1434,Laptop,Accessories,615.44,2,2024-07-13
T100017,C4257,Keyboard,Computing,1054.27,4,2024-02-09
T100018,C9928,Keyboard,Electronics,869.57,4,2024-05-02
T100019,C7873,Mouse,Accessories,589.55,4,2024-02-15
T100020,C4611,Laptop,Computing,1227.59,4,2024-05-02
T100021,C8359,Phone,Computing,287.59,3,2024-09-11
T100022,C5557,Phone,Accessories,591.37,3,2024-02-12
T100023,C1106,Keyboard,Accessories,739.06,2,2024-01-27
T100024,C3615,Laptop,Electronics,917.58,3,2024-10-17
T100025,C7924,Monitor,Computing,1572.5,2,2024-03-02
T100026,C6574,Headphones,Computing,407.35,2,2024-01-31
T100027,C5552,Phone,Accessories,1033.33,3,2024-08-30
T100028,C3547,Tablet,Computing,1188.9,3,2024-06-14
T100029,C4527,Mouse,Electronics,102.44,4,2024-07-12
T100030,C6514,Phone,Electronics,1219.01,1,2024-11-21
T100031,C2674,Phone,Electronics,349.34,1,2024-03-20
T100032,C2519,Monitor,Accessories,139.45,3,2024-05-16
T100033,C7224,Keyboard,Accessories,1898.28,4,2024-03-29
T100034,C2584,Monitor,Computing,1931.61,1,2024-08-27
T100035,C6881,Headphones,Accessories,1618.71,1,2024-06-26
T100036,C6635,Mouse,Computing,616.18,3,2024-01-19
T100037,C5333,Tablet,Computing,204.37,3,2024-03-24
T100038,C1711,Keyboard,Electronics,1371.62,2,2024-05-29
T100039,C8527,Phone,Computing,885.9,3,2024-10-30
T100040,C9785,Laptop,Electronics,252.86,2,2024-10-01
T100041,C3045,Mouse,Electronics,995.4,3,2024-09-03
T100042,C7201,Headphones,Accessories,78.43,3,2024-01-18
T100043,C2291,Monitor,Accessories,1819.55,4,2024-03-18
T100044,,Laptop,Computing,,4,2024-01-02
T100045,C6925,Tablet,Computing,1328.42,2,2024-09-18
T100046,C4150,Mouse,Computing,630.31,3,2024-06-10
T100047,C2139,Headphones,Computing,1044.94,2,2024-09-27
T100048,C1750,Keyboard,Electronics,1097.95,1,2024-11-16
T100049,C4733,Headphones,Accessories,377.86,1,2024-12-12
T100050,C5741,Keyboard,Electronics,1939.47,1,2024-03-08
T100051,C2307,Phone,Accessories,1552.51,4,2024-08-14
T100052,C4814,Mouse,Electronics,1879.6,0,2024-11-03
T100053,C2654,Keyboard,Accessories,1790.71,4,2024-04-21
T100054,C7227,Mouse,Electronics,1199.82,4,2024-05-16
T100055,C5554,Mouse,Computing,1844.53,2,2024-07-31
T100056,C8428,Keyboard,Accessories,186.1,2,2024-06-09
T100057,C6977,Keyboard,Accessories,400.01,3,2024-12-10
T100058,C3664,Headphones,Electronics,100.0,3,2024-12-04
T100059,C7065,Mouse,Accessories,657.41,3,2024-08-11
T100060,C6820,Laptop,Accessories,783.47,2,2024-06-08
T100061,C4432,Phone,Computing,549.98,3,2024-02-11
T100062,,Phone,Computing,,4,2024-03-20
T100063,C2169,Keyboard,Computing,719.94,3,2024-03-31
T100064,C3803,Mouse,Computing,569.06,3,2024-02-16
T100065,C9751,Monitor,Electronics,1089.97,2,2024-07-26
T100066,C5010,Tablet,Accessories,290.44,3,2024-06-28
T100067,C3677,Headphones,Computing,1606.37,1,2024-04-10
T100068,C8573,Mouse,Computing,158.36,4,2024-04-29
